,Name,Linear Projection,SVM Projection,Lin Value Above Baseline,SVM Value Above Baseline
1,JimmyGraham,15.0464831163,16.3922675455,6.46015967954,7.86735871732
2,RobGronkowski,14.0619217019,15.5043102925,5.47559826516,6.9794014643
3,GregOlsen,12.5141601264,12.9574568653,3.92783668973,4.43254803712
4,MartellusBennett,11.4576127014,12.1437131811,2.87128926467,3.61880435286
5,JuliusThomas,11.3529584087,11.645589435,2.766634972,3.1206806068
6,AntonioGates,11.2941425284,11.433261908,2.70781909171,2.90835307977
7,DelanieWalker,11.0871860646,11.0963438764,2.50086262783,2.57143504823
8,JasonWitten,10.4880862585,10.5493479006,1.90176282175,2.02443907245
9,CobyFleener,9.70287146679,9.49468966747,1.11654803007,0.969780839273
10,CharlesClay,9.2816766413,9.18830446277,0.695353204585,0.663395634569
11,HeathMiller,8.92424230294,8.81438611563,0.337918866228,0.289477287429
12,JordanCameron,8.58632343672,7.80336519108,0.0,-0.72154363712
13,ZachErtz,8.53104314983,8.5249088282,-0.0552802868901,0.0
14,JaredCook,8.27169369017,8.16457019796,-0.314629746544,-0.360338630238
15,OwenDaniels,7.91369443537,8.0506719323,-0.672629001346,-0.474236895904
16,JordanReed,7.87700967708,7.79956506582,-0.709313759641,-0.725343762378
17,VernonDavis,7.5195928308,7.31983818284,-1.06673060592,-1.20507064536
18,JermaineGresham,7.51901358843,7.47399130363,-1.06730984829,-1.05091752457
19,DwayneAllen,7.27588182059,6.90061532234,-1.31044161612,-1.62429350586
20,MychalRivera,7.14099952282,7.22561098717,-1.44532391389,-1.29929784103
21,ScottChandler,6.73878181193,6.35278596125,-1.84754162479,-2.17212286695
22,TimWright,6.65192100778,5.7664997204,-1.93440242893,-2.7584091078
23,KyleRudolph,6.5430617949,5.82973074449,-2.04326164182,-2.69517808371
24,NilesPaul,6.40150251167,5.52584440205,-2.18482092505,-2.99906442615
25,DennisPitta,6.10921013792,5.56651900558,-2.4771132988,-2.95838982261
26,MarcedesLewis,5.83683676116,4.96376751391,-2.74948667556,-3.56114131429
27,GarrettGraham,5.81258986277,4.81717654611,-2.77373357394,-3.70773228209
28,BrentCelek,5.68586076983,5.24845276454,-2.90046266688,-3.27645606365
29,LukeWillson,5.52025794376,4.64527476755,-3.06606549296,-3.87963406065
30,ClayHarbor,5.5186631169,4.77182534292,-3.06766031982,-3.75308348528
31,AndrewQuarless,5.25148766961,4.43640879313,-3.33483576711,-4.08850003507
32,LanceKendricks,5.18948827389,4.36078470746,-3.39683516283,-4.16412412074
33,AnthonyFasano,5.16065106586,4.25505779076,-3.42567237086,-4.26985103744
34,ZachMiller,5.0171479967,3.93975164476,-3.56917544001,-4.58515718344
35,JeffCumberland,4.97996320978,4.25630350017,-3.60636022694,-4.26860532803
36,BrandonMyers,4.86972499461,3.98343688573,-3.7165984421,-4.54147194247
37,JohnCarlson,4.86157083615,4.23143765412,-3.72475260057,-4.29347117408
38,JosephFauria,4.84088523152,3.7807344446,-3.7454382052,-4.7441743836
39,LadariusGreen,4.7971665991,4.01662136477,-3.78915683762,-4.50828746343
40,DionSims,4.77224603273,3.72142576892,-3.81407740399,-4.80348305928
41,TylerEifert,4.60982711747,3.57246135356,-3.97649631924,-4.95244747464
42,JamesCasey,4.59480865639,3.09785379619,-3.99151478033,-5.42705503201
43,MattSpaeth,4.38801008751,3.03073360091,-4.19831334921,-5.49417522729
44,RhettEllison,4.27120177554,3.12412768793,-4.31512166118,-5.40078114027
45,LevineToilolo,4.26202040511,3.60516453131,-4.32430303161,-4.91974429689
46,JohnPhillips,4.23545978875,2.86525958696,-4.35086364796,-5.65964924123
47,JimDray,4.20299939854,3.28134861395,-4.38332403818,-5.24356021425
48,GavinEscobar,4.09299431997,2.87391914711,-4.49332911675,-5.65098968109
49,RyanGriffin,3.95012417904,2.92040468094,-4.63619925767,-5.60450414726
50,ChrisGragg,3.94517548237,3.02551116411,-4.64114795435,-5.49939766409
51,BrandonBostick,3.92933349307,2.71428162143,-4.65698994365,-5.81062720677
52,JackDoyle,3.90110346817,2.6131686134,-4.68521996855,-5.9117402148
53,MichaelPalmer,3.83038068836,2.22126448757,-4.75594274835,-6.30364434063
54,CraigStevens,3.7487919989,2.34982254516,-4.83753143782,-6.17508628304
55,GaryBarnidge,3.70810372376,2.77933892156,-4.87821971295,-5.74556990664
56,JacobTamme,3.61319232921,2.5346745661,-4.97313110751,-5.9902342621
57,ZachSudfeld,3.59076314451,2.18541881723,-4.99556029221,-6.33949001097
58,BrandonPettigrew,3.58269880153,2.49765300222,-5.00362463518,-6.02725582598
59,LoganPaulsen,3.57789327873,2.53903447647,-5.00843015798,-5.98587435173
60,VirgilGreen,3.49714172262,2.23761776797,-5.0891817141,-6.28729106023
61,RobertHousler,3.40145157838,2.30722173803,-5.18487185834,-6.21768709017
62,DanteRosario,3.37328597171,2.00065406276,-5.21303746501,-6.52425476544
63,BenWatson,3.35856614934,2.60688878267,-5.22775728737,-5.91802004553
64,TaylorThompson,3.35278544881,1.93107351403,-5.23353798791,-6.59383531417
65,EdDickson,3.18009380294,2.10880933832,-5.40622963378,-6.41609948988
66,LeeSmith,3.17683166424,1.89700840316,-5.40949177248,-6.62790042504
67,KevinBrock,3.13703135699,1.72632075885,-5.44929207973,-6.79858806934
68,JamesHanna,2.96710233797,1.68247703588,-5.61922109874,-6.84243179231
69,MichaelHoomanawanui,2.8083835702,1.63605135847,-5.77793986651,-6.88885746973
70,BearPascoe,2.75448082396,1.58756853531,-5.83184261276,-6.93734029289
71,VanceMcDonald,2.53414397246,1.40025058842,-6.05217946425,-7.12465823978
