,Name,Linear Projection,SVM Projection,Lin Value Above Baseline,SVM Value Above Baseline
1,AntonioBrown,19.5701778629,20.0006360787,10.3946657449,10.8961011856
2,DemaryiusThomas,18.1633684051,18.3875153405,8.98785628704,9.2829804474
3,DezBryant,17.3073983542,17.4714995772,8.13188623618,8.36696468405
4,JordyNelson,17.0712238698,17.431822599,7.89571175174,8.32728770587
5,AlshonJeffery,15.7621666378,17.187528778,6.58665451975,8.08299388485
6,RandallCobb,15.7291868025,17.9634826716,6.5536746844,8.85894777851
7,JulioJones,15.4384479026,17.5614775496,6.26293578454,8.45694265649
8,EmmanuelSanders,15.1993283704,16.2876301017,6.02381625235,7.18309520859
9,CalvinJohnson,14.987152974,15.4089658438,5.81164085598,6.30443095068
10,AJGreen,14.4455728511,14.7939489928,5.27006073306,5.68941409966
11,TYHilton,14.2259564477,14.7211128036,5.05044432959,5.61657791045
12,JulianEdelman,13.7920983526,14.0413276841,4.61658623456,4.93679279096
13,GoldenTate,13.4818607131,14.4659899095,4.30634859507,5.36145501642
14,BrandonMarshall,13.0343980102,13.236230432,3.8588858921,4.13169553887
15,DeSeanJackson,12.8388738075,13.2131181274,3.66336168948,4.1085832343
16,AnquanBoldin,12.6492039952,12.8909761466,3.47369187717,3.78644125342
17,EricDecker,12.5841492815,12.7549296169,3.40863716346,3.65039472381
18,MikeWallace,12.4540093289,12.5688305268,3.27849721084,3.46429563367
19,AndreJohnson,12.4319145921,11.8937078926,3.25640247406,2.78917299945
20,RoddyWhite,12.1551213517,12.604387574,2.97960923362,3.49985268091
21,DeAndreHopkins,11.7186006918,12.0067777805,2.5430885737,2.90224288742
22,SteveSmith,11.7037071241,11.8676265013,2.52819500605,2.76309160818
23,BrandonLaFell,11.6400823067,12.2162510797,2.46457018867,3.11171618655
24,TorreySmith,11.5595091172,11.0441966579,2.38399699911,1.93966176478
25,KeenanAllen,11.4475020966,11.5228593804,2.27198997857,2.41832448726
26,KendallWright,11.1395448043,10.7150813306,1.96403268625,1.61054643744
27,VincentJackson,11.0510487788,10.5172977032,1.8755366607,1.41276281009
28,JoshGordon,11.000899255,12.9644453227,1.82538713691,3.85991042958
29,PierreGarcon,10.9452187983,10.7339534884,1.76970668026,1.62941859531
30,MarquesColston,10.8301861135,10.8126313225,1.65467399549,1.70809642938
31,LarryFitzgerald,10.550147256,10.7955382943,1.37463513789,1.6910034012
32,EddieRoyal,10.5294047948,11.0404976199,1.35389267675,1.9359627268
33,MichaelFloyd,10.1122489764,9.61240493603,0.936736858305,0.507870042907
34,JamesJones,10.0568559664,9.76131548666,0.881343848342,0.656780593529
35,GregJennings,9.90684254716,9.67994455068,0.7313304291,0.57540965755
36,RuebenRandle,9.74294134,9.72375977796,0.567429221935,0.619224884834
37,KennyStills,9.4537131324,9.88092938072,0.278201014333,0.776394487596
38,DougBaldwin,9.4295329587,9.44077869004,0.254020840634,0.336243796915
39,MohamedSanu,9.34284720914,9.41303718134,0.167335091078,0.308502288216
40,ReggieWayne,9.25269379301,9.3733490412,0.0771816749454,0.268814148075
41,HarryDouglas,9.19290165697,8.70441078816,0.017389538911,-0.400124104963
42,RobertWoods,9.17551211806,9.08128045471,0.0,-0.0232544384182
43,TerranceWilliams,9.10360941643,9.03574161783,-0.07190270163,-0.068793275296
44,MalcomFloyd,9.02188972787,9.79589333498,-0.153622390195,0.691358441848
45,VictorCruz,8.82594306391,8.81717190904,-0.349569054155,-0.28736298409
46,MichaelCrabtree,8.77774913963,9.10453489313,-0.397762978434,0.0
47,WesWelker,8.64972136464,8.67040488865,-0.525790753419,-0.434130004481
48,CecilShorts,8.54907004544,7.77676556918,-0.626442072623,-1.32776932395
49,RileyCooper,8.53022406864,8.08896549644,-0.645288049425,-1.01556939669
50,DwayneBowe,8.36670335632,7.9901348594,-0.80880876174,-1.11440003373
51,AndrewHawkins,8.19428827323,8.55563817763,-0.981223844829,-0.548896715495
52,AndreHolmes,8.05921452095,7.77022127178,-1.11629759712,-1.33431362135
53,PercyHarvin,7.80751761977,9.00748892492,-1.3679944983,-0.0970459682047
54,JerrichoCotchery,7.6871328802,7.46699309893,-1.48837923786,-1.63754179419
55,NateWashington,7.59105389126,6.76226516072,-1.58445822681,-2.34226973241
56,BrianQuick,7.52998213377,7.32065651044,-1.64552998429,-1.78387838269
57,SteveJohnson,7.52912025829,7.09912419966,-1.64639185978,-2.00541069347
58,RodStreater,7.42853971331,7.40746777803,-1.74697240476,-1.6970671151
59,BrianHartline,7.41149964332,6.51238498997,-1.76401247474,-2.59214990316
60,MilesAustin,7.33719251036,7.09911706924,-1.8383196077,-2.00541782388
61,HakeemNicks,7.21804477383,6.1128718799,-1.95746734423,-2.99166301323
62,JariusWright,7.14334164584,6.83691991732,-2.03217047222,-2.26761497581
63,KennyBritt,7.02472063297,7.09140994938,-2.15079148509,-2.01312494375
64,JustinHunter,6.90841548283,6.378635616,-2.26709663523,-2.72589927713
65,MarkusWheaton,6.75584354356,6.82198509991,-2.4196685745,-2.28254979322
66,JeremyKerley,6.64614080781,6.10647610396,-2.52937131025,-2.99805878917
67,ColeBeasley,6.5350032421,6.09785201466,-2.64050887597,-3.00668287847
68,AustinPettis,6.49361276971,6.00336017993,-2.68189934835,-3.1011747132
69,DonnieAvery,6.25046389646,5.54937395419,-2.9250482216,-3.55516093894
70,JermaineKearse,6.210805907,5.6597082865,-2.96470621106,-3.44482660662
71,AndreRoberts,6.14908880908,5.21873490041,-3.02642330898,-3.88579999272
72,LouisMurphy,5.93319296165,5.45325839518,-3.24231915641,-3.65127649794
73,TavonAustin,5.88794039917,7.24426719364,-3.2875717189,-1.86026769949
74,NickToon,5.72408644446,4.87641385707,-3.4514256736,-4.22812103605
75,BrandonGibson,5.67949562173,5.02541805038,-3.49601649634,-4.07911684275
76,MikeWilliams,5.62312219575,4.73087333805,-3.55238992232,-4.37366155507
77,SantanaMoss,5.54778570338,4.85292219115,-3.62772641468,-4.25161270197
78,DannyAmendola,5.46958899327,4.52529579112,-3.70592312479,-4.57923910201
79,MarlonBrown,5.46116197424,4.86378219378,-3.71435014382,-4.24075269935
80,JasonAvant,5.44844540093,4.40842520102,-3.72706671713,-4.69610969211
81,DevinHester,5.44641089119,5.38687491693,-3.72910122687,-3.7176599762
82,DenariusMoore,5.35477184702,4.30743052592,-3.82074027104,-4.79710436721
83,LanceMoore,5.26271462195,4.34652978235,-3.91279749611,-4.75800511078
84,RishardMatthews,5.22668465142,4.20541781537,-3.94882746665,-4.89911707776
85,MikeBrown,5.21138767778,4.12318063257,-3.96412444029,-4.98135426056
86,KenbrellThompkins,5.18332185767,4.04150910663,-3.9921902604,-5.0630257865
87,AaronDobson,5.17047363889,4.18939441787,-4.00503847918,-4.91514047525
88,VincentBrown,5.14049771063,4.10333916275,-4.03501440743,-5.00119573038
89,GriffWhalen,5.11422481183,3.97112488635,-4.06128730623,-5.13341000678
90,EricWeems,5.09225088086,4.03066412531,-4.0832612372,-5.07387076782
91,GregLittle,5.08058158286,4.00059126266,-4.0949305352,-5.10394363047
92,KrisDurham,4.96617607942,3.85479285849,-4.20933603864,-5.24974203464
93,TravisBenjamin,4.94720418176,4.28696145168,-4.2283079363,-4.81757344144
94,MarquessWilson,4.94519478899,3.8536689951,-4.23031732908,-5.25086589803
95,SantonioHolmes,4.92980714885,3.62251769783,-4.24570496921,-5.4820171953
96,TedGinnJr,4.9256300639,4.05962651659,-4.24988205417,-5.04490837654
97,DeVierPosey,4.8472189395,3.60607070997,-4.32829317856,-5.49846418316
98,LeonardHankerson,4.82340989313,3.58062208534,-4.35210222493,-5.52391280779
99,DavidNelson,4.80826303662,3.66235438895,-4.36724908144,-5.44218050418
100,StedmanBailey,4.79839685484,4.89445317465,-4.37711526322,-4.21008171848
101,QuintonPatton,4.77875623427,3.3561213653,-4.39675588379,-5.74841352783
102,JarrettBoykin,4.77592347124,3.67279872034,-4.39958864683,-5.43173617279
103,ChrisOwusu,4.7614292847,3.6470799719,-4.41408283336,-5.45745492123
104,JerrelJernigan,4.75109981635,4.53021499518,-4.42441230171,-4.57431989795
105,ChrisGivens,4.69136481076,3.49797073369,-4.48414730731,-5.60656415944
106,JoshCribbs,4.63625654514,3.95082666628,-4.53925557292,-5.15370822685
107,DamianWilliams,4.61434867128,3.21616373793,-4.56116344678,-5.8883711552
108,KevinOgletree,4.57205253595,3.29435332405,-4.60345958212,-5.81018156908
109,AceSanders,4.46558221007,3.51011796239,-4.70992990799,-5.59441693074
110,RicardoLockette,4.44455223886,3.55280494359,-4.73095987921,-5.55172994954
111,DamarisJohnson,4.41835752338,3.82795669517,-4.75715459468,-5.27657819796
112,BriceButler,4.41282970317,3.7063593849,-4.76268241489,-5.39817550822
113,JoshMorgan,4.41231019746,3.23571580952,-4.7632019206,-5.86881908361
114,TJGraham,4.37380666856,3.38610819944,-4.8017054495,-5.71842669368
115,DarriusHeywardBey,4.35728837298,3.24214949707,-4.81822374509,-5.86238539606
116,JoeWebb,4.35371384274,2.84436146075,-4.82179827533,-6.26017343237
117,AldrickRobinson,4.28491334803,2.9726091397,-4.89059877003,-6.13192575343
118,JeffMaehl,4.26083373304,2.90590501789,-4.91467838502,-6.19862987524
